signal_id,signal_kind,source_sha256,source_record_index,run_signature,task_id,baseline,api,api_group,generation_seed,raw_output_sha256,extracted_code_sha256,original_exit_code,anomaly_present,triage_status
sig-assert-73c2ad28c7379b1e,assertion_failure,03bbd2b8d20901e521ab7bfbc3a4816a770c657c65ac32c79d058af159de5a8d,146,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.reshape|3407,B2,torch.reshape,shape_and_composition,3407,b6b4caf8c096f832662c830a5e72b99dcb167c02fb43b301c37d8a1143100d03,b6b4caf8c096f832662c830a5e72b99dcb167c02fb43b301c37d8a1143100d03,1,,needs_oracle_validation
sig-assert-db37e897e495be03,assertion_failure,03bbd2b8d20901e521ab7bfbc3a4816a770c657c65ac32c79d058af159de5a8d,358,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.compile|3407,B1,torch.compile,autograd_transform_compile_and_export,3407,97ccce83181ccd8c55510c26291a9f55655a7192a4c44dd15e1d5c4992f1fa0d,2fe8a7621ddb58418bfbf34caa9617c82c8cfe143ff908a49cb76481c6134381,1,,needs_oracle_validation
sig-assert-f9edc70aa1eb61e3,assertion_failure,03bbd2b8d20901e521ab7bfbc3a4816a770c657c65ac32c79d058af159de5a8d,746,1c5e6efad4cf9bedd989725ef1f8bc1b74239c32f6e7a4bcc4ffdd3984273f8f,trdgl_pytorch_120_v1|torch.reshape|7711,B2,torch.reshape,shape_and_composition,7711,ee6ad3c049852385f60438ad2a844e77d4f59f4012213a91b6c47671767892af,ee6ad3c049852385f60438ad2a844e77d4f59f4012213a91b6c47671767892af,1,,needs_oracle_validation
sig-assert-8457337d521b3506,assertion_failure,03bbd2b8d20901e521ab7bfbc3a4816a770c657c65ac32c79d058af159de5a8d,906,1c5e6efad4cf9bedd989725ef1f8bc1b74239c32f6e7a4bcc4ffdd3984273f8f,trdgl_pytorch_120_v1|torch.sparse.log_softmax|7711,B2,torch.sparse.log_softmax,sparse,7711,692c91a5e8625b524742d6c372c6b8dd76eaa2dc61073f5efeaa97f70a55e07b,692c91a5e8625b524742d6c372c6b8dd76eaa2dc61073f5efeaa97f70a55e07b,1,,needs_oracle_validation
