stage,eligible_pairs,b2_pass,b3_pass,b2_cumulative_ablation_policy_pass,b3_cumulative_ablation_policy_pass,b2_pass_rate,b3_pass_rate,b3_minus_b2_paired_rate,both_pass,b2_only_pass,b3_only_pass,both_fail,mcnemar_exact_two_sided_p,metric_semantics,evidence_label
parseable,240,140,5,140,5,0.5833333333333334,0.020833333333333332,-0.5625,4,136,1,99,1.5841623087253484e-39,paired benchmark-harness outcome; cumulative ablation-policy counts are separate audit columns,diagnostic_checkpoint
ast_pass,240,140,5,139,5,0.5833333333333334,0.020833333333333332,-0.5625,4,136,1,99,1.5841623087253484e-39,paired benchmark-harness outcome; cumulative ablation-policy counts are separate audit columns,diagnostic_checkpoint
runnable,240,134,4,133,4,0.5583333333333333,0.016666666666666666,-0.5416666666666666,3,131,1,105,4.885648395605132e-38,paired benchmark-harness outcome; cumulative ablation-policy counts are separate audit columns,diagnostic_checkpoint
target_valid,240,95,1,94,1,0.3958333333333333,0.004166666666666667,-0.39166666666666666,0,95,1,144,2.4486242498060206e-27,paired benchmark-harness outcome; cumulative ablation-policy counts are separate audit columns,diagnostic_checkpoint
oracle_bearing,240,88,0,87,0,0.36666666666666664,0.0,-0.36666666666666664,0,88,0,152,6.462348535570529e-27,paired benchmark-harness outcome; cumulative ablation-policy counts are separate audit columns,diagnostic_checkpoint
