aggregation,source,source_role,generation_seed,baseline,api_group,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,runtime_error_other,240,240,7,233,0,0.029166666666666667,0.029166666666666667
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,assertion_failure,240,240,1,239,0,0.004166666666666667,0.004166666666666667
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,timeout,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,missing_oracle,240,240,231,9,0,0.9625,0.9625
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,oracle_not_executed,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,fake_assertion,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,broad_exception_swallowing,240,240,5,235,0,0.020833333333333332,0.020833333333333332
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,target_not_executed,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,truncated_generation,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B1,__ALL__,nondeterministic_failure,240,0,0,0,240,,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,syntax_error,240,240,100,140,0,0.4166666666666667,0.4166666666666667
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,wrong_or_missing_target_api,240,140,1,139,100,0.007142857142857143,0.004166666666666667
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,missing_import,240,140,0,140,100,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,shape_or_dtype_error,240,140,0,140,100,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,index_or_bounds_error,240,140,0,140,100,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,undefined_name_error,240,140,1,139,100,0.007142857142857143,0.004166666666666667
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,argument_signature_error,240,140,0,140,100,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,dependency_import_error,240,140,0,140,100,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,setup_or_environment_error,240,140,0,140,100,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,resource_exhaustion,240,140,0,140,100,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,runtime_error_other,240,140,2,138,100,0.014285714285714285,0.008333333333333333
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,assertion_failure,240,140,3,137,100,0.02142857142857143,0.0125
