aggregation,source,source_role,baseline,api_group,generation_seed,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
source,events.checkpoint_2,campaign_checkpoint,__ALL__,__ALL__,__ALL__,truncated_generation,480,480,229,251,0,0.47708333333333336,0.47708333333333336
source,events.checkpoint_2,campaign_checkpoint,__ALL__,__ALL__,__ALL__,nondeterministic_failure,480,0,0,0,480,,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,syntax_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,wrong_or_missing_target_api,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,missing_import,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,shape_or_dtype_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,index_or_bounds_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,undefined_name_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,argument_signature_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,dependency_import_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,setup_or_environment_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,resource_exhaustion,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,runtime_error_other,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,assertion_failure,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B0,__ALL__,__ALL__,timeout,120,120,0,120,0,0.0,0.0
