source,source_role,generation_seed,baseline,raw_records,unique_tasks,unidentified_records,n_token_count_known,tokens_total,tokens_median,n_generation_seconds_known,generation_seconds_total,generation_seconds_mean,n_subprocess_seconds_known,subprocess_seconds_total,subprocess_seconds_mean,n_token_generation_pairs,aggregate_tokens_per_generation_second,per_record_tokens_per_second_median,per_record_tokens_per_second_p95
events.checkpoint,campaign_checkpoint,3407,B0,120,120,0,0,,,120,0.0,0.0,120,310.36600000000016,2.586383333333335,0,,,
events.checkpoint,campaign_checkpoint,3407,B1,120,120,0,120,23938.0,193.0,120,684.1349999999996,5.701124999999997,120,290.19199999999995,2.4182666666666663,120,34.990170068773,35.01308900523561,36.39358993559982
events.checkpoint,campaign_checkpoint,3407,B2,120,120,0,120,71383.0,600.0,120,2198.3279999999995,18.319399999999995,120,179.054,1.4921166666666668,120,32.47149651917276,32.467532467532465,33.76097231600271
events.checkpoint,campaign_checkpoint,3407,B3,120,120,0,120,71994.0,600.0,120,2285.255999999999,19.04379999999999,120,9.374,0.07811666666666667,120,31.503691490143787,31.628887717448606,34.10059676044331
events.checkpoint_2,campaign_checkpoint,7711,B0,120,120,0,0,,,120,0.0,0.0,120,261.88599999999997,2.182383333333333,0,,,
events.checkpoint_2,campaign_checkpoint,7711,B1,120,120,0,120,23763.0,185.0,120,663.6299999999999,5.530249999999999,120,287.938,2.3994833333333334,120,35.807603634555406,35.70118596405428,36.92463328275164
events.checkpoint_2,campaign_checkpoint,7711,B2,120,120,0,120,71467.0,600.0,120,2133.8409999999994,17.78200833333333,120,183.72699999999995,1.531058333333333,120,33.49218615632562,33.35000833750208,35.19474425152511
events.checkpoint_2,campaign_checkpoint,7711,B3,120,120,0,120,71996.0,600.0,120,2172.731,18.106091666666668,120,12.006,0.10005,120,33.13617746513489,32.77076847452073,34.71217818918137
